Globant,Principal Devops Engineer,2019,Current,April,Current
Skycatch,Senior Devops Engineer,2018,2019,May,April
Wizeline,Devops Engineer,2018,2018,April,May
Softtek,Devops Consultant,2016,2018,June,April
EPAM Mexico,Sr. Software Engineer,2015,2016,November,June
Kueski,Software Engineer,2015,2015,August,November
Itexico Mexico,Software Developer,2015,2015,February,August
Adobe India,Site Reliability Engineer,2014,2015,June,February
Nextag,Site Reliability Engineer,2012,2014,June,June
Ajani Infotech,System Administrator,2011,2012,December,June
